,HRM_HEART_RATE,HRM_RESPERATION_RATE,HRM_POSTURE
2018-08-02 12:48:36.456000090,93.00000,23.40000,-151.00000
2018-08-02 12:48:37.464999914,95.00000,23.40000,-151.00000
2018-08-02 12:48:38.450999975,95.00000,22.60000,-151.00000
2018-08-02 12:48:39.450000048,93.00000,22.60000,-156.00000
2018-08-02 12:48:40.460000038,91.00000,22.10000,-170.00000
2018-08-02 12:48:41.449000120,90.00000,22.10000,-170.00000
2018-08-02 12:48:42.450000048,90.00000,21.80000,-166.00000
2018-08-02 12:48:43.450000048,91.00000,21.80000,-165.00000
2018-08-02 12:48:44.451999903,91.00000,21.60000,-164.00000
2018-08-02 12:48:45.463999987,92.00000,21.60000,-163.00000
2018-08-02 12:48:46.459000111,94.00000,21.50000,162.00000
2018-08-02 12:48:47.466000080,96.00000,21.50000,161.00000
2018-08-02 12:48:48.464999914,97.00000,21.40000,161.00000
2018-08-02 12:48:49.460999966,96.00000,21.40000,-161.00000
2018-08-02 12:48:50.449000120,93.00000,21.30000,-161.00000
2018-08-02 12:48:51.450000048,90.00000,21.30000,-161.00000
2018-08-02 12:48:52.456000090,88.00000,21.20000,-161.00000
2018-08-02 12:48:53.450999975,88.00000,21.20000,-161.00000
2018-08-02 12:48:54.446000099,88.00000,19.70000,-160.00000
2018-08-02 12:48:55.464999914,85.00000,19.70000,-159.00000
2018-08-02 12:48:56.453999996,85.00000,18.30000,-161.00000
2018-08-02 12:48:57.450999975,84.00000,18.30000,-161.00000
2018-08-02 12:49:31.447999954,84.00000,25.70000,158.00000
2018-08-02 12:49:32.450999975,86.00000,26.10000,158.00000
2018-08-02 12:49:33.453999996,86.00000,26.10000,159.00000
2018-08-02 12:49:34.450999975,86.00000,26.50000,160.00000
2018-08-02 12:49:35.450999975,84.00000,26.50000,161.00000
2018-08-02 12:49:36.467000008,87.00000,26.80000,160.00000
2018-08-02 12:49:37.446000099,88.00000,26.80000,159.00000
2018-08-02 12:49:38.454999924,93.00000,27.10000,160.00000
2018-08-02 12:49:39.450000048,96.00000,27.10000,160.00000
2018-08-02 12:49:40.446000099,96.00000,27.10000,160.00000
2018-08-02 12:49:40.447000027,96.00000,27.70000,161.00000
2018-08-02 12:49:41.460000038,92.00000,27.70000,160.00000
2018-08-02 12:49:42.469000101,90.00000,28.20000,161.00000
2018-08-02 12:49:43.444000006,90.00000,28.20000,160.00000
2018-08-02 12:49:44.444999933,91.00000,29.00000,161.00000
2018-08-02 12:49:45.450000048,91.00000,29.00000,161.00000
2018-08-02 12:49:46.469000101,91.00000,29.40000,162.00000
2018-08-02 12:49:47.453000069,90.00000,29.40000,161.00000
2018-08-02 12:49:48.457000017,93.00000,29.50000,159.00000
2018-08-02 12:49:49.459000111,93.00000,29.50000,160.00000
2018-08-02 12:49:50.463999987,93.00000,29.80000,161.00000
2018-08-02 12:49:51.444999933,95.00000,29.80000,161.00000
2018-08-02 12:49:51.446000099,95.00000,29.80000,161.00000
2018-08-02 12:49:52.450999975,97.00000,29.80000,161.00000
2018-08-02 12:49:52.451999903,97.00000,29.80000,161.00000
2018-08-02 12:49:53.450999975,98.00000,29.80000,161.00000
2018-08-02 12:49:54.464999914,95.00000,30.10000,161.00000
2018-08-02 12:49:55.457999945,91.00000,30.10000,162.00000
2018-08-02 12:49:56.463000059,90.00000,30.10000,161.00000
2018-08-02 12:49:57.444999933,88.00000,30.10000,161.00000
2018-08-02 12:49:58.467000008,84.00000,30.70000,161.00000
2018-08-02 12:49:59.454999924,82.00000,30.70000,161.00000
2018-08-02 12:50:00.454999924,83.00000,31.20000,161.00000
2018-08-02 12:50:01.450000048,86.00000,31.20000,161.00000
2018-08-02 12:50:02.464999914,86.00000,31.70000,161.00000
2018-08-02 12:50:03.449000120,89.00000,31.70000,161.00000
2018-08-02 12:50:04.453000069,88.00000,31.50000,161.00000
2018-08-02 12:50:05.454999924,87.00000,31.50000,161.00000
2018-08-02 12:50:06.457999945,90.00000,31.70000,162.00000
2018-08-02 12:50:07.453999996,92.00000,31.70000,163.00000
2018-08-02 12:50:08.459000111,94.00000,31.80000,164.00000
2018-08-02 12:50:09.467000008,97.00000,31.80000,163.00000
2018-08-02 12:50:10.450000048,98.00000,31.30000,163.00000
2018-08-02 12:50:11.461999893,98.00000,31.30000,165.00000
2018-08-02 12:50:12.450000048,98.00000,30.90000,166.00000
2018-08-02 12:50:13.450000048,98.00000,30.90000,165.00000
2018-08-02 12:50:14.461999893,101.00000,29.90000,165.00000
2018-08-02 12:50:15.450000048,102.00000,29.90000,165.00000
2018-08-02 12:50:16.467999935,103.00000,29.00000,166.00000
2018-08-02 12:50:17.451999903,104.00000,29.00000,166.00000
2018-08-02 12:50:18.451999903,106.00000,27.60000,165.00000
2018-08-02 12:50:19.451999903,107.00000,27.60000,165.00000
2018-08-02 12:50:20.450000048,108.00000,26.10000,165.00000
2018-08-02 12:50:21.459000111,107.00000,26.10000,165.00000
2018-08-02 12:50:22.444999933,105.00000,24.70000,165.00000
2018-08-02 12:50:23.454999924,104.00000,24.70000,166.00000
2018-08-02 12:50:24.457000017,102.00000,23.70000,166.00000
2018-08-02 12:50:25.459000111,100.00000,23.70000,165.00000
2018-08-02 12:50:26.449000120,100.00000,22.80000,166.00000
2018-08-02 12:50:27.469000101,101.00000,22.80000,166.00000
2018-08-02 12:50:28.463999987,101.00000,22.40000,165.00000
2018-08-02 12:50:29.470000029,99.00000,22.40000,165.00000
2018-08-02 12:50:30.450000048,96.00000,22.20000,165.00000
2018-08-02 12:50:31.469000101,95.00000,22.20000,165.00000
2018-08-02 12:50:32.447999954,96.00000,22.10000,164.00000
2018-08-02 12:50:33.450000048,90.00000,22.10000,165.00000
2018-08-02 12:50:34.447000027,92.00000,22.30000,165.00000
2018-08-02 12:50:35.451999903,95.00000,22.30000,166.00000
2018-08-02 12:50:36.451999903,98.00000,22.50000,165.00000
2018-08-02 12:50:37.473999977,99.00000,22.50000,165.00000
2018-08-02 12:50:38.450000048,100.00000,22.50000,165.00000
2018-08-02 12:50:38.450999975,100.00000,22.30000,165.00000
2018-08-02 12:50:39.451999903,100.00000,22.30000,165.00000
2018-08-02 12:50:40.450000048,99.00000,22.50000,166.00000
2018-08-02 12:50:41.461999893,97.00000,22.50000,165.00000
2018-08-02 12:50:42.451999903,95.00000,22.60000,166.00000
2018-08-02 12:50:43.450000048,95.00000,22.60000,166.00000
2018-08-02 12:50:43.450999975,95.00000,22.60000,166.00000
2018-08-02 12:50:44.451999903,96.00000,22.80000,165.00000
2018-08-02 12:50:45.460000038,97.00000,22.80000,165.00000
2018-08-02 12:50:46.456000090,96.00000,22.90000,165.00000
2018-08-02 12:50:47.457999945,95.00000,22.90000,166.00000
2018-08-02 12:50:48.447999954,91.00000,23.00000,166.00000
2018-08-02 12:50:49.467999935,92.00000,23.00000,166.00000
2018-08-02 12:50:50.447999954,94.00000,23.10000,167.00000
2018-08-02 12:50:51.454999924,95.00000,23.10000,165.00000
2018-08-02 12:50:51.456000090,95.00000,23.10000,165.00000
2018-08-02 12:50:52.451999903,96.00000,23.50000,165.00000
2018-08-02 12:50:53.450999975,97.00000,23.50000,166.00000
2018-08-02 12:50:54.453000069,98.00000,24.10000,165.00000
2018-08-02 12:50:55.449000120,98.00000,24.10000,165.00000
2018-08-02 12:50:56.453000069,99.00000,24.40000,164.00000
2018-08-02 12:50:57.459000111,100.00000,24.40000,165.00000
2018-08-02 12:50:58.460999966,101.00000,25.00000,164.00000
2018-08-02 12:50:59.463999987,102.00000,25.00000,165.00000
2018-08-02 12:51:00.451999903,102.00000,25.50000,165.00000
2018-08-02 12:51:01.446000099,103.00000,25.50000,164.00000
2018-08-02 12:51:02.450999975,103.00000,26.20000,165.00000
2018-08-02 12:51:03.459000111,102.00000,26.20000,165.00000
2018-08-02 12:51:04.467999935,101.00000,26.60000,166.00000
2018-08-02 12:51:05.447999954,100.00000,26.60000,167.00000
2018-08-02 12:51:06.451999903,99.00000,26.60000,166.00000
2018-08-02 12:51:07.469000101,99.00000,26.60000,167.00000
2018-08-02 12:51:08.450999975,100.00000,27.00000,167.00000
2018-08-02 12:51:09.453999996,103.00000,27.00000,167.00000
2018-08-02 12:51:10.450999975,103.00000,27.30000,167.00000
2018-08-02 12:51:11.460999966,102.00000,27.30000,166.00000
2018-08-02 12:51:12.463000059,97.00000,27.50000,167.00000
2018-08-02 12:51:13.459000111,95.00000,27.50000,166.00000
2018-08-02 12:51:14.447000027,96.00000,27.50000,165.00000
2018-08-02 12:51:15.450999975,99.00000,27.50000,165.00000
2018-08-02 12:51:16.447999954,101.00000,27.40000,165.00000
2018-08-02 12:51:17.456000090,102.00000,27.40000,165.00000
2018-08-02 12:51:18.469000101,102.00000,27.40000,165.00000
2018-08-02 12:51:19.463999987,102.00000,27.40000,166.00000
2018-08-02 12:51:20.450999975,102.00000,27.40000,166.00000
2018-08-02 12:51:21.460000038,104.00000,27.40000,166.00000
2018-08-02 12:51:22.463000059,106.00000,27.30000,166.00000
2018-08-02 12:51:23.451999903,109.00000,27.30000,168.00000
2018-08-02 12:51:24.461999893,110.00000,27.60000,167.00000
2018-08-02 12:51:25.457000017,112.00000,27.60000,167.00000
2018-08-02 12:51:26.446000099,113.00000,28.40000,166.00000
2018-08-02 12:51:27.456000090,114.00000,28.40000,165.00000
2018-08-02 12:51:28.460000038,115.00000,28.90000,163.00000
2018-08-02 12:51:29.469000101,115.00000,28.90000,163.00000
2018-08-02 12:51:29.470000029,115.00000,28.90000,163.00000
2018-08-02 12:51:30.451999903,115.00000,29.30000,163.00000
2018-08-02 12:51:31.447999954,114.00000,29.30000,162.00000
2018-08-02 12:51:31.449000120,114.00000,29.30000,162.00000
2018-08-02 12:51:32.467999935,113.00000,29.70000,163.00000
2018-08-02 12:51:33.470000029,110.00000,29.70000,163.00000
2018-08-02 12:51:34.470000029,111.00000,30.00000,162.00000
2018-08-02 12:51:35.450000048,106.00000,30.00000,162.00000
2018-08-02 12:51:36.451999903,103.00000,30.60000,163.00000
2018-08-02 12:51:37.453999996,101.00000,30.60000,163.00000
2018-08-02 12:51:37.454999924,101.00000,30.60000,163.00000
2018-08-02 12:51:38.457999945,101.00000,30.80000,163.00000
2018-08-02 12:51:39.447999954,104.00000,30.80000,165.00000
2018-08-02 12:51:40.467999935,105.00000,30.80000,164.00000
2018-08-02 12:51:41.447000027,107.00000,30.80000,164.00000
2018-08-02 12:51:42.450000048,108.00000,30.40000,164.00000
2018-08-02 12:51:43.447000027,106.00000,30.40000,163.00000
2018-08-02 12:51:44.467000008,103.00000,29.80000,163.00000
2018-08-02 12:51:45.450999975,100.00000,29.80000,164.00000
2018-08-02 12:51:46.470000029,100.00000,28.60000,163.00000
